feature,coefficient,abs_coefficient
pm10_ozone_interaction,28.31895493653773,28.31895493653773
pm2_5_pm10_ratio,8.332709384581745,8.332709384581745
ozone,-6.667036585346183,6.667036585346183
pm2_5_max_lag1,4.774775749807315,4.774775749807315
sulphur_dioxide,2.5753406342123397,2.5753406342123397
nitrogen_dioxide_lag1,-2.42959172941196,2.42959172941196
pm10_lag7,1.7918150974259002,1.7918150974259002
carbon_monoxide,1.7206813856497303,1.7206813856497303
pm2_5_mean_rolling_std_3d,1.508483384074489,1.508483384074489
relative_humidity_2m_rolling_mean_30d,-1.4735718706503662,1.4735718706503662
month_sin,1.3924741439725676,1.3924741439725676
pm10_rolling_std_7d,-1.3733011586501782,1.3733011586501782
pm10_lag1,1.3004898596969159,1.3004898596969159
is_crop_burning,1.021829428107201,1.021829428107201
is_autumn,0.9825097839495436,0.9825097839495436
pm2_5_std_lag14,-0.8886135886946034,0.8886135886946034
pm10_rolling_mean_7d,0.8769055966719879,0.8769055966719879
year,0.8119640515688703,0.8119640515688703
fire_weather_risk,0.8027816111540255,0.8027816111540255
crop_fire_intensity,-0.760066160033678,0.760066160033678
pm2_5_std_lag7,-0.7519440556026648,0.7519440556026648
pm10_rolling_std_3d,-0.7511188347889254,0.7511188347889254
wind_chill,0.7431811605535137,0.7431811605535137
nitrogen_dioxide,0.7295712472797635,0.7295712472797635
stagnant_air,-0.7267345768688831,0.7267345768688831
week_of_year,0.6769757959557703,0.6769757959557703
pm10_rolling_std_30d,0.6525932748681283,0.6525932748681283
temp_range,-0.6034096687014743,0.6034096687014743
pm2_5_mean_rolling_std_30d,0.482081089423233,0.482081089423233
is_winter,-0.3712837632202422,0.3712837632202422
tavg_rolling_std_7d,-0.35500048927737426,0.35500048927737426
tavg_rolling_std_30d,0.3279964758450942,0.3279964758450942
dow_sin,0.32270531069736297,0.32270531069736297
days_since_rain,0.31898969983802555,0.31898969983802555
pm10_lag30,0.3082691206998582,0.3082691206998582
winter_smog_risk,0.30699974283803094,0.30699974283803094
humidity_wind_trap,0.2880318766825003,0.2880318766825003
ozone_lag30,0.2810905025705721,0.2810905025705721
inversion_risk,-0.2346450784037338,0.2346450784037338
ozone_lag1,-0.21369377441606638,0.21369377441606638
prcp,-0.2073084532914565,0.2073084532914565
pres,-0.1893015125476884,0.1893015125476884
high_pollution_streak,0.18578839781391093,0.18578839781391093
fire_frp_total_lag30,0.1719507958943263,0.1719507958943263
is_weekend,-0.13729823578300257,0.13729823578300257
fire_frp_total_lag14,0.10268594131713452,0.10268594131713452
fire_frp_total_lag7,-0.07774834455245848,0.07774834455245848
day_of_week,-0.05390283206542903,0.05390283206542903
tavg_anomaly,0.04751154076083954,0.04751154076083954
fire_intensity_per_fire,-0.045468193084514934,0.045468193084514934
has_fire,-0.0402677198164873,0.0402677198164873
fire_frp_total_lag1,0.03802007165851812,0.03802007165851812
pm2_5_mean_rolling_std_7d,-0.005530526696457296,0.005530526696457296
wspd,-0.0,0.0
tmax,-0.0,0.0
fire_frp_total,-0.0,0.0
relative_humidity_2m,-0.0,0.0
fire_frp_max,-0.0,0.0
is_spring,0.0,0.0
is_summer,-0.0,0.0
is_smog_season,-0.0,0.0
pm2_5_max_lag30,0.0,0.0
pm2_5_max_lag14,-0.0,0.0
pm2_5_max_lag7,0.0,0.0
dow_cos,-0.0,0.0
month_cos,0.0,0.0
pm2_5_mean_rolling_mean_3d,0.0,0.0
pm2_5_mean_rolling_mean_30d,0.0,0.0
pm2_5_mean_rolling_mean_7d,0.0,0.0
pm10_lag14,-0.0,0.0
pm2_5_std_lag30,0.0,0.0
pm2_5_std_lag1,-0.0,0.0
ozone_lag7,-0.0,0.0
ozone_lag14,-0.0,0.0
nitrogen_dioxide_lag7,-0.0,0.0
nitrogen_dioxide_lag14,-0.0,0.0
nitrogen_dioxide_lag30,-0.0,0.0
pm10_rolling_mean_30d,0.0,0.0
pm10_rolling_mean_3d,0.0,0.0
prcp_cumsum_7d,0.0,0.0
fire_frp_total_rolling_mean_3d,0.0,0.0
tavg_rolling_std_3d,-0.0,0.0
ozone_rolling_mean_30d,-0.0,0.0
tavg_rolling_mean_30d,0.0,0.0
relative_humidity_2m_rolling_mean_7d,-0.0,0.0
ozone_rolling_mean_7d,0.0,0.0
ozone_rolling_mean_3d,-0.0,0.0
fire_frp_total_rolling_mean_7d,0.0,0.0
fire_frp_total_rolling_mean_30d,0.0,0.0
temp_humidity_interaction,0.0,0.0
wind_fire_interaction,-0.0,0.0
strong_inversion,0.0,0.0
fire_count_cumsum_3d,-0.0,0.0
